
[Name]
dingzi_wall_tie

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
-4.49951412e-003, 4.36068140e-002, 1.33408502e-001, 3.21877197e+002
-4.49951412e-003, 4.52658273e-002, 1.32686779e-001, 3.22387451e+002
-4.49951412e-003, 4.86679263e-002, 1.33583710e-001, 3.21798126e+002
7.38891400e-003, 3.93122174e-002, 1.56056479e-001, 3.18052704e+002
6.41326373e-003, 3.94831039e-002, 1.56639531e-001, 3.18559326e+002
6.41310867e-003, 3.94831300e-002, 1.55642882e-001, 3.18579254e+002
7.38879479e-003, 3.93122397e-002, 1.55058116e-001, 3.18064453e+002
8.35949462e-003, 3.91173363e-002, 1.55472696e-001, 3.17808075e+002
8.35949462e-003, 3.91173363e-002, 1.56472698e-001, 3.17800140e+002
7.38894427e-003, 3.93122099e-002, 1.57054707e-001, 3.18036072e+002
7.38857733e-003, 3.93122807e-002, 1.54059455e-001, 3.18088440e+002
6.41282601e-003, 3.94831784e-002, 1.54645711e-001, 3.18598663e+002
6.41251542e-003, 3.94832268e-002, 1.53647691e-001, 3.18618134e+002
8.35949462e-003, 3.91173363e-002, 1.53472692e-001, 3.17847961e+002
7.38834264e-003, 3.93123217e-002, 1.53060332e-001, 3.18106415e+002
8.35949462e-003, 3.91173363e-002, 1.54472694e-001, 3.17819672e+002
5.43261599e-003, 3.96299325e-002, 1.54234901e-001, 3.19217377e+002
5.43296244e-003, 3.96298841e-002, 1.55231789e-001, 3.19201996e+002
5.43329865e-003, 3.96298394e-002, 1.56227425e-001, 3.19180359e+002
5.43258106e-003, 3.96299362e-002, 1.45237401e-001, 3.19200867e+002
5.43258106e-003, 3.96299362e-002, 1.44237399e-001, 3.19199707e+002
6.41235150e-003, 3.94832529e-002, 1.44649163e-001, 3.18593811e+002
4.44947835e-003, 3.97523083e-002, 1.44825637e-001, 3.19835754e+002
4.44947835e-003, 3.97523083e-002, 1.45825639e-001, 3.19830566e+002
6.41235150e-003, 3.94832529e-002, 1.45649165e-001, 3.18599762e+002
6.41235150e-003, 3.94832529e-002, 1.46649167e-001, 3.18608795e+002
5.43258106e-003, 3.96299362e-002, 1.46237403e-001, 3.19208221e+002
5.43258106e-003, 3.96299362e-002, 1.47237405e-001, 3.19222839e+002
4.44947835e-003, 3.97523083e-002, 1.46825641e-001, 3.19846466e+002
8.35949462e-003, 3.91173363e-002, 1.43472686e-001, 3.17829102e+002
7.38818897e-003, 3.93123515e-002, 1.44060925e-001, 3.18076324e+002
7.38818897e-003, 3.93123515e-002, 1.43060923e-001, 3.18068420e+002
6.41235150e-003, 3.94832529e-002, 1.43649161e-001, 3.18587646e+002
7.38818897e-003, 3.93123515e-002, 1.45060927e-001, 3.18084290e+002
8.35949462e-003, 3.91173363e-002, 1.44472688e-001, 3.17835693e+002
8.35949462e-003, 3.91173363e-002, 1.45472690e-001, 3.17842987e+002
7.38818897e-003, 3.93123515e-002, 1.46060929e-001, 3.18090424e+002
5.43258106e-003, 3.96299362e-002, 1.41237393e-001, 3.19174072e+002
6.41235150e-003, 3.94832529e-002, 1.40649170e-001, 3.18558746e+002
6.41235150e-003, 3.94832529e-002, 1.41649157e-001, 3.18573242e+002
6.41235150e-003, 3.94832529e-002, 1.39649168e-001, 3.18537567e+002
5.43258106e-003, 3.96299362e-002, 1.40237406e-001, 3.19153625e+002
5.43258106e-003, 3.96299362e-002, 1.42237395e-001, 3.19187073e+002
4.44947835e-003, 3.97523083e-002, 1.41825631e-001, 3.19809204e+002
4.44947835e-003, 3.97523083e-002, 1.40825629e-001, 3.19790009e+002
5.43258106e-003, 3.96299362e-002, 1.43237397e-001, 3.19194702e+002
6.41235150e-003, 3.94832529e-002, 1.42649159e-001, 3.18582001e+002
4.44947835e-003, 3.97523083e-002, 1.43825635e-001, 3.19829468e+002
4.44947835e-003, 3.97523083e-002, 1.42825633e-001, 3.19819946e+002
8.35949462e-003, 3.91173363e-002, 1.40472695e-001, 3.17802826e+002
7.38818897e-003, 3.93123515e-002, 1.40060931e-001, 3.18037567e+002
8.35949462e-003, 3.91173363e-002, 1.39472693e-001, 3.17786102e+002
8.35949462e-003, 3.91173363e-002, 1.38472691e-001, 3.17757782e+002
7.38818897e-003, 3.93123515e-002, 1.39060929e-001, 3.18013855e+002
7.38818897e-003, 3.93123515e-002, 1.41060933e-001, 3.18053741e+002
8.35949462e-003, 3.91173363e-002, 1.41472697e-001, 3.17816071e+002
8.35949462e-003, 3.91173363e-002, 1.42472699e-001, 3.17820953e+002
7.38818897e-003, 3.93123515e-002, 1.42060935e-001, 3.18064178e+002
3.46364686e-003, 3.98502983e-002, 1.46413863e-001, 3.20376068e+002
3.46364686e-003, 3.98502983e-002, 1.45413876e-001, 3.20376862e+002
3.46364686e-003, 3.98502983e-002, 1.42413870e-001, 3.20343842e+002
3.46364686e-003, 3.98502983e-002, 1.41413867e-001, 3.20332184e+002
2.47569080e-003, 3.99238430e-002, 1.43002108e-001, 3.20714508e+002
3.46364686e-003, 3.98502983e-002, 1.43413872e-001, 3.20354370e+002
2.47569080e-003, 3.99238430e-002, 1.42002106e-001, 3.20705109e+002
3.46364686e-003, 3.98502983e-002, 1.44413874e-001, 3.20368286e+002
2.47569080e-003, 3.99238430e-002, 1.45002112e-001, 3.20731110e+002
2.47569080e-003, 3.99238430e-002, 1.44002110e-001, 3.20716583e+002
6.41234126e-003, 3.94832566e-002, 1.51649088e-001, 3.18639374e+002
5.43253962e-003, 3.96299437e-002, 1.52237251e-001, 3.19259277e+002
5.43258106e-003, 3.96299362e-002, 1.51237398e-001, 3.19261658e+002
4.44939313e-003, 3.97523195e-002, 1.52825415e-001, 3.19893585e+002
4.44947835e-003, 3.97523083e-002, 1.51825637e-001, 3.19902313e+002
5.43249212e-003, 3.96299474e-002, 1.53236657e-001, 3.19239044e+002
6.41235663e-003, 3.94832529e-002, 1.52648747e-001, 3.18633942e+002
4.44926927e-003, 3.97523344e-002, 1.53824538e-001, 3.19866333e+002
7.38818897e-003, 3.93123515e-002, 1.51060909e-001, 3.18104675e+002
7.38818897e-003, 3.93123515e-002, 1.50060922e-001, 3.18104980e+002
8.35949462e-003, 3.91173363e-002, 1.50472686e-001, 3.17850189e+002
6.41235150e-003, 3.94832529e-002, 1.50649160e-001, 3.18636017e+002
8.35949462e-003, 3.91173363e-002, 1.52472690e-001, 3.17863739e+002
7.38821458e-003, 3.93123478e-002, 1.52060777e-001, 3.18113922e+002
8.35949462e-003, 3.91173363e-002, 1.51472688e-001, 3.17861267e+002
5.43258106e-003, 3.96299362e-002, 1.48237392e-001, 3.19229370e+002
6.41235150e-003, 3.94832529e-002, 1.47649169e-001, 3.18616119e+002
6.41235150e-003, 3.94832529e-002, 1.48649156e-001, 3.18622345e+002
5.43258106e-003, 3.96299362e-002, 1.49237394e-001, 3.19240082e+002
4.44947835e-003, 3.97523083e-002, 1.48825631e-001, 3.19872681e+002
4.44947835e-003, 3.97523083e-002, 1.47825629e-001, 3.19865845e+002
5.43258106e-003, 3.96299362e-002, 1.50237396e-001, 3.19256378e+002
6.41235150e-003, 3.94832529e-002, 1.49649158e-001, 3.18632233e+002
4.44947835e-003, 3.97523083e-002, 1.50825635e-001, 3.19903717e+002
4.44947835e-003, 3.97523083e-002, 1.49825633e-001, 3.19894623e+002
7.38818897e-003, 3.93123515e-002, 1.47060931e-001, 3.18095184e+002
8.35949462e-003, 3.91173363e-002, 1.46472692e-001, 3.17846100e+002
8.35949462e-003, 3.91173363e-002, 1.47472695e-001, 3.17847931e+002
7.38818897e-003, 3.93123515e-002, 1.48060933e-001, 3.18095825e+002
7.38818897e-003, 3.93123515e-002, 1.49060935e-001, 3.18102692e+002
8.35949462e-003, 3.91173363e-002, 1.48472697e-001, 3.17848175e+002
8.35949462e-003, 3.91173363e-002, 1.49472699e-001, 3.17854645e+002
6.41368935e-003, 3.94830368e-002, 1.29656926e-001, 3.18375153e+002
5.43404417e-003, 3.96297351e-002, 1.30248398e-001, 3.18983551e+002
5.43419598e-003, 3.96297164e-002, 1.29255190e-001, 3.18970490e+002
4.45108861e-003, 3.97521295e-002, 1.30839840e-001, 3.19606934e+002
4.45123436e-003, 3.97521108e-002, 1.29849300e-001, 3.19587646e+002
5.43394592e-003, 3.96297500e-002, 1.31242886e-001, 3.18993073e+002
6.41352078e-003, 3.94830629e-002, 1.30653113e-001, 3.18391113e+002
4.45106393e-003, 3.97521332e-002, 1.31832644e-001, 3.19619171e+002
7.38921901e-003, 3.93121578e-002, 1.29065245e-001, 3.17855896e+002
7.38894148e-003, 3.93122099e-002, 1.28067240e-001, 3.17821106e+002
8.35949462e-003, 3.91173363e-002, 1.28472686e-001, 3.17599945e+002
6.41361577e-003, 3.94830480e-002, 1.28661200e-001, 3.18352386e+002
