
[Name]
commenface_dingzi_waike

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
5.85650243e-002, -1.30453818e-002, 1.53865546e-001, 3.01029175e+002
5.80495074e-002, -1.51754981e-002, 1.51901260e-001, 3.00998383e+002
5.85650280e-002, -1.30453622e-002, 1.51901260e-001, 3.01017914e+002
5.74565157e-002, -1.72854625e-002, 1.59758404e-001, 3.01171875e+002
5.67868911e-002, -1.93722732e-002, 1.57794118e-001, 3.01174835e+002
5.74565232e-002, -1.72854438e-002, 1.57794118e-001, 3.01138550e+002
5.67868836e-002, -1.93722919e-002, 1.59758404e-001, 3.01206573e+002
5.60414940e-002, -2.14332473e-002, 1.57794118e-001, 3.01231720e+002
5.60414866e-002, -2.14332640e-002, 1.59758404e-001, 3.01263947e+002
5.74565306e-002, -1.72854234e-002, 1.55829832e-001, 3.01073334e+002
5.67869022e-002, -1.93722323e-002, 1.53865546e-001, 3.01046783e+002
5.74565344e-002, -1.72854029e-002, 1.53865546e-001, 3.01020752e+002
5.67868985e-002, -1.93722527e-002, 1.55829832e-001, 3.01105743e+002
5.60415089e-002, -2.14332100e-002, 1.53865546e-001, 3.01094513e+002
5.60415015e-002, -2.14332286e-002, 1.55829832e-001, 3.01160706e+002
5.85650131e-002, -1.30454209e-002, 1.57794118e-001, 3.01144012e+002
5.85650094e-002, -1.30454395e-002, 1.59758404e-001, 3.01182495e+002
5.80494925e-002, -1.51755586e-002, 1.57794118e-001, 3.01130096e+002
5.80494888e-002, -1.51755773e-002, 1.59758404e-001, 3.01166534e+002
5.85650168e-002, -1.30454013e-002, 1.55829832e-001, 3.01079834e+002
5.80495037e-002, -1.51755186e-002, 1.53865546e-001, 3.01015137e+002
5.80495000e-002, -1.51755381e-002, 1.55829832e-001, 3.01065460e+002
5.12159877e-002, -3.12561095e-002, 1.75472692e-001, 3.01377960e+002
5.12160547e-002, 3.12569439e-002, 1.57794118e-001, 3.01290649e+002
5.23234718e-002, 2.93655284e-002, 1.57794118e-001, 3.01297729e+002
5.23234867e-002, 2.93655060e-002, 1.55829832e-001, 3.01258087e+002
5.12160696e-002, 3.12569216e-002, 1.55829832e-001, 3.01254547e+002
5.00403009e-002, 3.31066474e-002, 1.57794118e-001, 3.01258026e+002
5.12160324e-002, 3.12569812e-002, 1.61722690e-001, 3.01395508e+002
5.23234531e-002, 2.93655675e-002, 1.61722690e-001, 3.01405518e+002
5.23234606e-002, 2.93655507e-002, 1.59758404e-001, 3.01364655e+002
5.12160398e-002, 3.12569663e-002, 1.59758404e-001, 3.01352997e+002
5.00402749e-002, 3.31066810e-002, 1.61722690e-001, 3.01355469e+002
5.00402860e-002, 3.31066698e-002, 1.59758404e-001, 3.01316742e+002
5.33610806e-002, 2.74349116e-002, 1.55829832e-001, 3.01232513e+002
5.33610694e-002, 2.74349339e-002, 1.57794118e-001, 3.01275665e+002
5.33610582e-002, 2.74349544e-002, 1.59758404e-001, 3.01342041e+002
5.52213192e-002, 2.34666336e-002, 1.57794118e-001, 3.01172211e+002
5.52213266e-002, 2.34666187e-002, 1.55829832e-001, 3.01124054e+002
5.43274432e-002, 2.54677627e-002, 1.57794118e-001, 3.01229492e+002
5.43274544e-002, 2.54677441e-002, 1.55829832e-001, 3.01183746e+002
5.43274283e-002, 2.54677981e-002, 1.61722690e-001, 3.01333191e+002
5.52213080e-002, 2.34666653e-002, 1.61722690e-001, 3.01272369e+002
5.52213117e-002, 2.34666504e-002, 1.59758404e-001, 3.01236786e+002
5.43274358e-002, 2.54677814e-002, 1.59758404e-001, 3.01296844e+002
5.33610508e-002, 2.74349712e-002, 1.61722690e-001, 3.01383759e+002
5.23235239e-002, 2.93654390e-002, 1.49936974e-001, 3.01387909e+002
5.12160994e-002, 3.12568732e-002, 1.51901260e-001, 3.01299713e+002
5.23235127e-002, 2.93654613e-002, 1.51901260e-001, 3.01295288e+002
5.12161106e-002, 3.12568508e-002, 1.49936974e-001, 3.01395508e+002
5.23235351e-002, 2.93654203e-002, 1.47972688e-001, 3.01505646e+002
5.00403456e-002, 3.31065804e-002, 1.51901260e-001, 3.01273926e+002
5.12161255e-002, 3.12568322e-002, 1.47972688e-001, 3.01509064e+002
5.00403605e-002, 3.31065580e-002, 1.49936974e-001, 3.01374146e+002
5.23234978e-002, 2.93654837e-002, 1.53865546e-001, 3.01255463e+002
5.12160845e-002, 3.12568992e-002, 1.53865546e-001, 3.01252594e+002
5.00403158e-002, 3.31066251e-002, 1.55829832e-001, 3.01220093e+002
5.00403307e-002, 3.31066027e-002, 1.53865546e-001, 3.01225067e+002
5.43274730e-002, 2.54677050e-002, 1.51901260e-001, 3.01219879e+002
5.52213416e-002, 2.34665852e-002, 1.51901260e-001, 3.01153717e+002
5.52213453e-002, 2.34665703e-002, 1.49936974e-001, 3.01235474e+002
5.52213490e-002, 2.34665610e-002, 1.47972688e-001, 3.01342743e+002
5.43274805e-002, 2.54676864e-002, 1.49936974e-001, 3.01303253e+002
5.33611029e-002, 2.74348687e-002, 1.51901260e-001, 3.01270813e+002
5.43274879e-002, 2.54676733e-002, 1.47972688e-001, 3.01414703e+002
5.33611104e-002, 2.74348482e-002, 1.49936974e-001, 3.01356873e+002
5.33611178e-002, 2.74348333e-002, 1.47972688e-001, 3.01470001e+002
5.52213341e-002, 2.34666020e-002, 1.53865546e-001, 3.01117523e+002
5.43274619e-002, 2.54677236e-002, 1.53865546e-001, 3.01179779e+002
5.33610918e-002, 2.74348911e-002, 1.53865546e-001, 3.01231415e+002
4.61192466e-002, 3.83809581e-002, 1.57794118e-001, 3.01069641e+002
4.61192578e-002, 3.83809470e-002, 1.55829832e-001, 3.01047699e+002
4.46867794e-002, 4.00396697e-002, 1.57794118e-001, 3.01024811e+002
4.31947038e-002, 4.16449420e-002, 1.57794118e-001, 3.00999481e+002
4.46867831e-002, 4.00396623e-002, 1.55829832e-001, 3.01007233e+002
4.46867719e-002, 4.00396772e-002, 1.61722690e-001, 3.01112152e+002
4.61192355e-002, 3.83809768e-002, 1.61722690e-001, 3.01162598e+002
4.61192392e-002, 3.83809693e-002, 1.59758404e-001, 3.01120026e+002
4.46867757e-002, 4.00396734e-002, 1.59758404e-001, 3.01071014e+002
4.31947000e-002, 4.16449457e-002, 1.61722690e-001, 3.01080963e+002
4.31947000e-002, 4.16449420e-002, 1.59758404e-001, 3.01039948e+002
4.74902056e-002, 3.66710126e-002, 1.55829832e-001, 3.01102051e+002
4.74901944e-002, 3.66710275e-002, 1.57794118e-001, 3.01129730e+002
4.74901833e-002, 3.66710424e-002, 1.59758404e-001, 3.01183685e+002
4.87977937e-002, 3.49121429e-002, 1.57794118e-001, 3.01198029e+002
4.87978086e-002, 3.49121206e-002, 1.55829832e-001, 3.01166840e+002
4.87977713e-002, 3.49121727e-002, 1.61722690e-001, 3.01297455e+002
4.87977788e-002, 3.49121615e-002, 1.59758404e-001, 3.01255219e+002
4.74901758e-002, 3.66710499e-002, 1.61722690e-001, 3.01222656e+002
4.46867943e-002, 4.00396511e-002, 1.51901260e-001, 3.01087006e+002
4.61192727e-002, 3.83809283e-002, 1.51901260e-001, 3.01120941e+002
4.61192839e-002, 3.83809172e-002, 1.49936974e-001, 3.01224335e+002
4.61192913e-002, 3.83809097e-002, 1.47972688e-001, 3.01325104e+002
4.46867980e-002, 4.00396474e-002, 1.49936974e-001, 3.01188141e+002
4.31947075e-002, 4.16449383e-002, 1.51901260e-001, 3.01072021e+002
4.46868017e-002, 4.00396436e-002, 1.47972688e-001, 3.01293732e+002
4.31947075e-002, 4.16449383e-002, 1.49936974e-001, 3.01175323e+002
4.61192653e-002, 3.83809395e-002, 1.53865546e-001, 3.01061157e+002
4.46867906e-002, 4.00396585e-002, 1.53865546e-001, 3.01025269e+002
4.31947038e-002, 4.16449420e-002, 1.55829832e-001, 3.00984711e+002
4.31947038e-002, 4.16449383e-002, 1.53865546e-001, 3.01007019e+002
4.87978347e-002, 3.49120796e-002, 1.51901260e-001, 3.01226837e+002
4.87978496e-002, 3.49120609e-002, 1.49936974e-001, 3.01330780e+002
5.00403717e-002, 3.31065394e-002, 1.47972688e-001, 3.01489410e+002
4.74902280e-002, 3.66709791e-002, 1.51901260e-001, 3.01171051e+002
